x,y,clase
1.55E+00,1.87E+00,0
1.26E+01,9.18E+00,0
4.80E+00,4.08E+00,0
7.69E+00,8.08E+00,0
9.56E+00,8.73E+00,0
1.03E+01,8.60E+00,0
7.48E+00,9.38E+00,0
2.30E+00,2.27E+00,0
-6.94E-01,3.76E-02,0
4.61E+00,3.68E+00,0
2.88E+00,2.03E+00,0
4.57E+00,6.45E+00,0
4.08E+00,3.59E+00,0
-1.68E-02,1.76E+00,0
1.20E+00,3.64E-02,0
7.75E+00,1.03E+01,0
6.48E+00,4.30E+00,0
4.18E+00,6.42E+00,0
1.76E+00,1.67E+00,0
3.12E+00,1.48E+00,0
8.48E+00,9.94E+00,0
3.75E+00,3.99E+00,0
5.97E+00,2.60E+00,0
7.14E+00,5.79E+00,0
1.09E+01,1.07E+01,0
3.23E+00,1.90E+00,0
7.02E-01,2.36E+00,0
3.49E+00,1.65E+00,0
5.27E+00,6.00E+00,0
1.03E+01,9.88E+00,0
-5.39E-02,-1.18E-01,0
2.11E+00,1.17E-01,0
2.89E+00,4.84E+00,0
2.70E+00,2.43E+00,0
7.91E+00,7.14E+00,0
6.29E-01,7.08E-01,0
1.91E+00,1.38E+00,0
5.55E-01,2.87E+00,0
6.47E+00,7.50E+00,0
7.93E+00,6.13E+00,0
6.73E+00,6.02E+00,0
5.08E+00,4.59E+00,0
7.20E+00,8.85E+00,0
7.47E+00,1.13E+01,0
3.10E+00,4.93E+00,0
7.95E+00,7.06E+00,0
7.33E+00,8.96E+00,0
6.43E+00,6.39E+00,0
8.17E+00,7.75E+00,0
1.58E+00,3.76E+00,0
1.90E+00,3.26E+00,0
8.71E+00,8.82E+00,0
3.28E+00,3.07E+00,0
9.07E-03,-7.18E-01,0
7.82E-01,2.00E+00,0
3.00E+00,7.99E-01,0
6.87E+00,4.88E+00,0
2.77E+00,3.05E+00,0
7.10E+00,7.20E+00,0
6.21E-01,3.39E+00,0
3.58E+00,9.82E-01,0
3.59E+00,3.19E+00,0
2.33E+00,2.87E+00,0
1.08E+01,9.45E+00,0
2.85E-01,-5.68E-02,0
2.26E+00,3.75E+00,0
1.07E+00,2.34E+00,0
2.27E+00,1.65E+00,0
-3.54E-01,-3.64E-01,0
4.59E+00,3.80E+00,0
4.85E+00,2.54E+00,0
-1.17E+00,1.27E+00,0
1.30E+00,2.75E-01,0
3.32E+00,1.39E+00,0
-3.97E-01,-2.63E-01,0
5.26E+00,6.56E+00,0
7.48E-01,8.69E-01,0
6.35E+00,6.62E+00,0
1.62E+00,3.69E+00,0
7.83E+00,7.40E+00,0
1.05E+01,9.87E+00,0
1.79E+00,9.99E-01,0
4.62E+00,2.81E+00,0
1.72E+00,3.72E-01,0
4.72E+00,4.26E+00,0
9.38E-01,3.99E+00,0
8.49E+00,7.58E+00,0
1.31E+00,1.99E+00,0
8.78E+00,9.33E+00,0
9.90E+00,1.01E+01,0
1.29E+00,1.82E+00,0
3.63E+00,2.48E+00,0
8.05E+00,8.63E+00,0
1.35E+00,1.25E+00,0
1.98E+00,2.81E+00,0
1.10E+01,9.24E+00,0
2.68E+00,4.02E+00,0
4.45E+00,3.86E+00,0
1.74E+00,1.59E+00,0
4.12E+00,3.93E+00,0
4.53E+00,2.82E+00,0
5.59E+00,4.14E+00,0
5.37E+00,6.46E+00,0
1.16E+00,1.85E+00,0
7.63E+00,6.52E+00,0
1.48E+00,2.28E+00,0
2.45E+00,9.64E-01,0
4.14E+00,5.51E+00,0
1.11E+00,-7.61E-02,0
6.53E+00,2.31E+00,0
6.93E+00,9.78E+00,0
3.53E+00,2.45E+00,0
7.08E+00,7.57E+00,0
2.44E+00,1.22E+00,0
1.04E+01,9.99E+00,0
5.62E+00,4.14E+00,0
8.75E+00,9.59E+00,0
7.37E+00,6.56E+00,0
5.19E+00,6.07E+00,0
6.66E-01,6.75E-01,0
7.19E+00,7.21E+00,0
7.95E+00,8.75E+00,0
4.57E-01,1.61E+00,0
1.99E+00,1.93E+00,0
6.06E+00,4.50E+00,0
-1.49E+00,-8.31E-01,0
8.59E-01,1.39E+00,0
1.58E+00,8.97E-01,0
1.19E+01,8.41E+00,0
1.43E+00,3.49E+00,0
1.35E+00,7.77E-01,0
-2.59E-01,1.32E+00,0
7.30E-01,1.03E+00,0
1.06E+01,9.74E+00,0
3.82E+00,2.68E+00,0
1.08E+01,1.00E+01,0
7.02E+00,5.01E+00,0
6.67E+00,6.14E+00,0
3.02E+00,1.58E+00,0
2.97E+00,2.31E+00,0
5.79E+00,5.40E+00,0
2.53E+00,2.31E+00,0
1.20E+00,4.45E-01,0
6.42E+00,9.03E+00,0
1.02E+01,8.85E+00,0
3.98E+00,3.87E+00,0
6.62E-01,1.56E+00,0
7.06E+00,6.70E+00,0
5.14E+00,3.83E+00,0
6.17E+00,6.33E+00,0
5.60E+00,5.16E+00,0
6.09E+00,5.70E+00,0
4.90E+00,4.23E+00,0
3.81E+00,1.36E-01,0
-9.84E-01,-3.44E-01,0
3.27E-01,1.47E+00,0
6.57E+00,4.82E+00,0
2.24E+00,1.43E+00,0
2.28E+00,-3.29E-01,0
6.29E+00,6.64E+00,0
2.22E+00,1.32E+00,0
5.88E+00,6.16E+00,0
1.61E+00,6.53E-01,0
6.47E+00,6.03E+00,0
4.53E+00,5.31E+00,0
2.33E-01,6.18E-01,0
5.51E+00,3.88E+00,0
1.74E+00,1.34E+00,0
2.71E+00,3.90E+00,0
4.71E+00,3.56E+00,0
6.17E+00,5.95E+00,0
2.11E+00,1.89E+00,0
1.05E+01,1.11E+01,0
5.23E+00,5.76E+00,0
1.14E+00,6.90E-01,0
6.90E+00,6.27E+00,0
7.52E+00,5.29E+00,0
5.91E+00,6.29E+00,0
5.91E+00,4.94E+00,0
3.09E+00,3.39E+00,0
3.65E+00,2.69E+00,0
3.52E+00,2.32E+00,0
4.47E+00,5.20E+00,0
5.49E+00,5.78E+00,0
5.53E+00,4.53E+00,0
1.32E+00,-4.16E-01,0
2.62E+00,2.89E+00,0
3.71E+00,5.14E+00,0
3.24E+00,3.79E+00,0
9.48E+00,8.41E+00,0
2.58E+00,2.81E+00,0
7.63E+00,6.00E+00,0
8.72E+00,7.85E+00,0
2.00E+00,1.33E+00,0
5.93E-01,-3.66E-01,0
8.49E+00,1.14E+01,0
4.71E+00,4.13E+00,0
5.28E+00,3.75E+00,0
5.30E-01,1.81E+00,0
9.63E+00,9.94E+00,0
7.98E+00,7.09E+00,0
2.56E+00,8.82E-01,0
4.99E+00,5.31E+00,0
4.08E+00,2.91E+00,0
6.32E+00,7.35E+00,0
9.67E+00,1.02E+01,0
-7.81E-01,5.18E-01,0
8.91E+00,8.62E+00,0
4.99E+00,1.64E+00,0
7.50E+00,7.12E+00,0
3.70E-01,2.90E+00,0
5.16E+00,5.05E+00,0
4.91E+00,6.76E+00,0
-2.27E-01,1.22E+00,0
9.76E+00,8.47E+00,0
2.34E+00,1.90E+00,0
8.04E+00,5.09E+00,0
4.16E+00,2.92E+00,0
1.17E+00,2.70E+00,0
7.55E+00,8.42E+00,0
4.55E+00,3.70E+00,0
6.55E+00,6.69E+00,0
2.27E+00,2.01E+00,0
6.46E+00,5.23E+00,0
1.17E+01,9.69E+00,0
6.55E+00,4.57E+00,0
1.57E+00,2.09E+00,0
-1.55E-01,5.46E-01,0
4.16E+00,4.09E+00,0
5.90E+00,7.21E+00,0
3.48E+00,4.48E+00,0
8.60E+00,9.11E+00,0
7.84E+00,6.44E+00,0
4.42E+00,2.30E+00,0
7.13E+00,6.31E+00,0
6.49E+00,5.79E+00,0
7.90E+00,8.77E+00,0
-7.85E-01,1.06E+00,0
3.34E+00,2.71E+00,0
6.67E+00,7.62E+00,0
8.30E+00,8.73E+00,0
6.25E+00,5.12E+00,0
