x,y,clase
18.3669323,12.31208064,0
11.17515885,14.92613883,0
-2.7259987,5.80082803,0
18.62799722,0.28807845,0
-12.63086844,10.38573676,0
-13.06434934,13.94177103,0
17.88203921,10.8748058,0
-17.29351267,0.65310706,0
4.74860196,-12.2326468,0
-5.95349501,-2.86008039,0
-16.32329287,7.86182275,0
6.99316839,17.00763448,0
-15.78290542,6.64487048,0
-17.94017044,0.82594215,0
17.16950111,-6.72627671,0
5.73790227,4.94227881,0
17.2330044,6.88882731,0
11.9670305,13.60680757,0
11.98103779,16.94763825,0
-5.44961983,1.52416684,0
17.12374943,-7.03276686,0
-18.25897205,0.6569211,0
15.65038823,-6.49332359,0
-16.48894615,6.38169164,0
-17.44708142,2.58404497,0
1.59365111,6.9047318,0
-6.01619068,-1.3052288,0
-7.51014942,17.49056385,0
16.36986146,14.41053717,0
-5.25371963,0.7806734,0
-9.29496601,15.03459909,0
-16.92080623,5.90200875,0
-1.06981041,-11.12491727,0
-16.39881873,7.46040623,0
20.33736026,0.94910561,0
18.47097262,8.94447369,0
-5.86221284,1.00611895,0
-16.15361564,6.88631652,0
-11.91067192,13.36278409,0
21.31789207,-2.21180094,0
7.55915268,17.42878958,0
-3.2109174,5.7533134,0
13.95219776,13.15842701,0
4.38883598,4.75668748,0
-3.17196911,-9.97618496,0
-4.56911765,-2.91602583,0
-2.47016218,19.69400952,0
-15.08716033,7.92372946,0
15.08547478,-8.26584711,0
18.79056667,-0.62437924,0
-18.94378466,3.34824825,0
19.84973464,-5.1433844,0
14.67281514,-13.65326769,0
14.82623399,-9.43221549,0
1.73742544,19.31722865,0
5.35171334,19.14668515,0
13.52894001,17.76582928,0
13.59021518,15.38685713,0
-2.54802922,-9.11461164,0
-0.448199,18.02414492,0
-14.45096526,8.94849274,0
-1.71135523,-10.55058045,0
17.03568161,-5.78745353,0
-17.99303449,4.2098221,0
-6.56751119,-4.4042109,0
-16.03834774,4.26440317,0
-4.60731711,-4.39117353,0
-10.74162371,13.19167858,0
9.41691569,-13.26343397,0
18.69391943,-6.811183,0
-3.50281678,-9.79150242,0
-1.21316632,6.78356861,0
-16.03420852,10.5871986,0
-18.82873292,0.22238695,0
5.76257726,-12.82551267,0
12.35915569,-12.39780097,0
-3.74151216,-5.37647752,0
-10.91431792,12.63191235,0
6.39117779,18.7251536,0
16.26580642,-7.96359974,0
-14.45117563,7.35428356,0
-10.72288895,13.63976527,0
-0.88639083,6.47452729,0
0.15711519,19.08069185,0
19.22132134,1.38328402,0
-6.90305707,17.04583263,0
-17.53278788,6.55846147,0
19.67317294,-5.82466847,0
18.63451316,4.43170705,0
2.7700803,20.34636849,0
15.13598232,12.22594731,0
4.01707491,-13.67837585,0
18.53803952,-0.54964726,0
8.77038925,16.90502087,0
-14.04485899,13.01158722,0
-6.06487881,-2.56261082,0
12.4434437,15.80289503,0
16.11870281,11.02276758,0
9.72196155,-12.75258918,0
20.51928792,1.65059467,0
19.49749615,7.27766186,0
-16.01200835,4.45814095,0
10.90869679,17.39719546,0
19.86646583,3.11334433,0
-5.65185575,-4.79095399,0
20.66181535,-2.55914866,0
2.86483325,19.98917301,0
16.76645545,-7.77742391,0
-8.16024634,-1.08084779,0
1.60174728,6.14730487,0
-5.57017153,-2.05052237,0
-0.67733658,8.28616655,0
-4.75481295,-2.05390874,0
1.26512615,-11.45777519,0
-2.87265762,-7.45631215,0
9.36305474,-11.55762564,0
-15.57791533,8.41428556,0
17.65765939,7.41221756,0
12.95267839,15.07553952,0
19.12062827,-1.34637572,0
-15.06199293,9.38484937,0
4.82423465,21.29830685,0
12.88530411,-11.55701437,0
-4.23307198,-7.22486386,0
5.17694258,-12.32717001,0
11.95963177,-11.77778781,0
-0.25996229,3.82211848,0
-5.05939898,-3.37176502,0
-13.11722587,12.25090994,0
21.20508614,0.71720475,0
18.12576935,7.74499359,0
19.88834537,0.74674516,0
-15.37457235,0.92242176,0
7.43456431,-10.72101054,0
16.53177899,11.69043194,0
15.04775347,-8.68297283,0
15.69345451,-2.82359307,0
-17.33873218,1.60787975,0
-6.03797416,17.92601847,0
-13.65136434,9.50527659,0
-2.55560693,18.53749936,0
16.91767363,11.80142201,0
17.00172769,10.0644084,0
14.140221,-10.4852014,0
-11.42359083,10.52639764,0
2.75802984,-10.45257421,0
-15.50628963,7.47872204,0
16.76161531,12.06510695,0
16.01365115,11.79273872,0
-1.94896993,-10.16332981,0
-15.91607835,7.62998221,0
19.66210648,-1.24499529,0
-18.89108097,1.63049013,0
-4.97455511,-1.29761818,0
-11.66421027,13.37644764,0
-17.48973301,4.50481436,0
-2.5659538,19.78915811,0
1.44419103,20.23600233,0
11.95378014,13.75865478,0
4.67228755,19.39790975,0
20.34477501,-1.74987008,0
13.4977536,16.39920679,0
-17.81610639,1.80903207,0
-16.21475013,9.4650836,0
2.12126899,-13.53911772,0
20.1044613,0.08496042,0
-9.08868101,15.73251754,0
11.97324479,-10.63799981,0
10.72760996,-11.63918993,0
-15.52304832,8.11857613,0
18.96062148,-3.03767491,0
4.30089163,-12.62853568,0
9.58604817,18.16145237,0
-5.47225887,0.52893949,0
-6.68414422,-2.94670621,0
5.45008587,18.64001369,0
19.10977617,0.50885241,0
3.66917946,7.26046769,0
10.76074844,18.06436813,0
21.95415839,5.38044868,0
6.25194989,3.57709671,0
-2.40983494,-9.4007711,0
18.07871376,-7.13468812,0
-5.67513435,17.50826926,0
8.1850432,-12.62173687,0
11.34887534,16.60322733,0
-16.10585934,4.82772994,0
17.43852462,9.63993936,0
-4.37704873,-3.51586282,0
19.31924744,-6.77391595,0
20.40641351,-0.37061157,0
-5.59841829,-7.94385359,0
-1.13703998,-11.24755617,0
-14.52862826,8.73908823,0
18.68927787,0.40939746,0
-9.92829753,13.81829949,0
-14.22161889,14.00207563,0
12.40865772,14.12910675,0
13.55346768,-10.52114656,0
-5.09078405,16.94222104,0
-8.37336119,16.00138239,0
-6.28631762,-2.90547041,0
8.29655639,18.55470701,0
20.36594078,-1.59065816,0
-2.25486425,17.54889433,0
15.52662056,-5.05081008,0
-11.26769309,12.83755005,0
20.94117577,-0.84616796,0
20.58018124,6.54767916,0
13.90769747,-8.66072885,0
18.96151467,-2.68619184,0
-9.18072758,12.45156761,0
-0.91906471,20.09703533,0
-15.60846556,3.33576112,0
17.42132978,9.5548132,0
2.88626891,-13.06507301,0
-4.64687115,-6.52113768,0
4.91019272,19.38061729,0
20.69464978,1.81403185,0
15.88362554,-7.39627228,0
-3.85306202,3.71296265,0
-15.18793695,8.04946753,0
4.1587927,17.81287317,0
-3.61805718,-8.79322983,0
-5.19075747,1.71683488,0
-4.54766209,5.0822645,0
-14.72323281,9.08641828,0
2.31370779,-12.44941301,0
-10.1844364,15.67754916,0
-15.25192701,6.37531138,0
2.04582496,-12.20648485,0
15.99276987,10.57270843,0
5.25538053,18.51226983,0
-14.68861576,11.87060335,0
6.40169804,5.35380125,0
